###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**|**W-8**|**W-9**|**W-10**|**W-11**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--
149|Western|I'm Subban at puns|2047.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
150|Western|Mikko Horny|2034.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
151|Messier|Waiver Wire Wonders|2026.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
152|Esposito|Kari On My Wayward Soul|2025.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
153|Lemieux|Vanek! at the Disco|2023.6|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
154|Yzerman|Bad Religion|2004.85|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
155|Esposito|Blue&WhiteDisease|2000.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
156|Sakic|Alex Goooaaaaligoski|1997.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
157|Jagr|Slappa Voynov|1995.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
158|Esposito|Howard you doing?|1979.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
159|Yzerman|CCCP Fantasy Team|1978.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
160|Bourque|Is this basketball?|1976.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
161|Francis|Yandleabra|1974.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
162|Western|That Krug Really Tied the Room Together|1966.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
163|Jagr|Fugly, by Dustin|1965.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
164|Sakic|KRUG-S-A|1964.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
165|Esposito|Doan Stop Believing|1949.7|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
166|Roy|Brad Medicine|1947.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
167|Dionne|Gold is Yellow, not Beige|1936.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
