###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--
184|Roy|Miller Time|1219.9|NR|NR|NR|NR|NR|NR|NR
185|Messier|Cloud9.0.1|1207.8|NR|NR|NR|NR|NR|NR|NR
186|Jagr|Holy Smokes Bettman!|1203.45|NR|NR|NR|NR|NR|NR|NR
187|Bourque|Boychuks Truest|1198.3|NR|NR|NR|NR|NR|NR|NR
188|Francis|Baby Got Backstrom|1191.4|NR|NR|NR|NR|NR|NR|NR
189|Sakic|H2H...yay|1189.05|NR|NR|NR|NR|NR|NR|NR
190|Dionne|Lehtinen No Goals|1186.0|NR|NR|NR|NR|NR|NR|NR
191|Jagr|McTank|1184.6|NR|NR|NR|NR|NR|NR|NR
192|Howe|Madison Krakens|1181.35|NR|NR|NR|NR|NR|NR|NR
193|Lemieux|Cape Town Lions|1178.4|NR|NR|NR|NR|NR|NR|NR
194|Messier|Captain KLeonard's Crew|1147.25|NR|NR|NR|NR|NR|NR|NR
195|Bourque|Nightmare On Helm Street|1145.55|NR|NR|NR|NR|NR|NR|NR
196|Francis|The New Cheli-O's|1132.2|NR|NR|NR|NR|NR|NR|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

