###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--
134|Esposito|Tiger Williams' Stick|1279.05|NR|NR|NR|NR|NR|NR
135|Francis|Insane In The Duchene|1278.75|NR|NR|NR|NR|NR|NR
136|Eastern|Sunnyvale Stars|1274.9|NR|NR|NR|NR|NR|NR
137|Gretzky|The Tavarsenal|1274.6|NR|NR|NR|NR|NR|NR
138|Western|I'm Subban at puns|1268.35|NR|NR|NR|NR|NR|NR
139|Esposito|Blue&WhiteDisease|1265.95|NR|NR|NR|NR|NR|NR
140|Bourque|More Power Plays Please|1265.85|NR|NR|NR|NR|NR|NR
141|Howe|Roy-Guy Races|1257.5|NR|NR|NR|NR|NR|NR
142|Sakic|KRUG-S-A|1257.05|NR|NR|NR|NR|NR|NR
143|Jagr|Fugly, by Dustin|1255.1|NR|NR|NR|NR|NR|NR
144|Sakic|Crosby Wears Jorts|1254.7|NR|NR|NR|NR|NR|NR
145|Lemieux|Lehigh Valley Phantoms|1252.95|NR|NR|NR|NR|NR|NR
146|Esposito|Howard you doing?|1251.0|NR|NR|NR|NR|NR|NR
147|Western|Kneel Before Saad|1245.05|NR|NR|NR|NR|NR|NR
148|Lemieux|Whose Line is it Eberle?|1238.45|NR|NR|NR|NR|NR|NR
149|Yzerman|Jew Crew|1232.95|NR|NR|NR|NR|NR|NR
150|Roy|Acadian Fisherman|1232.7|NR|NR|NR|NR|NR|NR
151|Western|Mikko Horny|1232.25|NR|NR|NR|NR|NR|NR
152|Sakic|Had Phaneuf|1227.85|NR|NR|NR|NR|NR|NR
153|Roy|Brad Medicine|1224.1|NR|NR|NR|NR|NR|NR
154|Messier|Sotnos HC|1220.25|NR|NR|NR|NR|NR|NR
155|Yzerman|Bad Religion|1213.4|NR|NR|NR|NR|NR|NR
156|Sakic|Turris Trap|1212.3|NR|NR|NR|NR|NR|NR
157|Howe|Vanek at the Disco|1204.85|NR|NR|NR|NR|NR|NR
158|Bourque|Raisin' Kane|1201.3|NR|NR|NR|NR|NR|NR
159|Dionne|Gold is Yellow, not Beige|1200.8|NR|NR|NR|NR|NR|NR
160|Dionne|This Name Always Getzlaf|1200.3|NR|NR|NR|NR|NR|NR
161|Bourque|Is this basketball?|1200.2|NR|NR|NR|NR|NR|NR
162|Messier|Waiver Wire Wonders|1196.55|NR|NR|NR|NR|NR|NR
163|Dionne|The Best Placeholder Name Ever|1189.55|NR|NR|NR|NR|NR|NR
164|Esposito|Kari On My Wayward Soul|1186.25|NR|NR|NR|NR|NR|NR
165|Sakic|Alex Goooaaaaligoski|1181.9|NR|NR|NR|NR|NR|NR
166|Roy|ELB95|1176.55|NR|NR|NR|NR|NR|NR
167|Western|That Krug Really Tied the Room Together|1175.55|NR|NR|NR|NR|NR|NR
168|Howe|Take Me to Girouxsalem|1174.8|NR|NR|NR|NR|NR|NR
169|Lemieux|South City Squash|1173.55|NR|NR|NR|NR|NR|NR
170|Yzerman|Harder, Better, Faster, Pronger|1168.85|NR|NR|NR|NR|NR|NR
171|Eastern|Cool Story Brodeur|1162.9|NR|NR|NR|NR|NR|NR
172|Jagr|Ig It to Wig It|1162.15|NR|NR|NR|NR|NR|NR
173|Lemieux|GiREKT|1158.55|NR|NR|NR|NR|NR|NR
174|Messier|The Wife Beaters.... Oops! Wrong Sport!|1149.65|NR|NR|NR|NR|NR|NR
175|Bourque|Are You MacKidding Me?|1140.0|NR|NR|NR|NR|NR|NR
176|Roy|Bryz's Bears|1131.45|NR|NR|NR|NR|NR|NR
177|Yzerman|Hawaiian Hedgehogs|1126.85|NR|NR|NR|NR|NR|NR
178|Francis|Yandleabra|1112.2|NR|NR|NR|NR|NR|NR
179|Bourque|Boychuks Truest|1106.3|NR|NR|NR|NR|NR|NR
180|Eastern|Carl Seguin|1105.8|NR|NR|NR|NR|NR|NR
181|Jagr|Teemu's Salami|1102.05|NR|NR|NR|NR|NR|NR
182|Francis|Baby Got Backstrom|1086.15|NR|NR|NR|NR|NR|NR
183|Roy|Miller Time|1085.75|NR|NR|NR|NR|NR|NR
184|Dionne|Lehtinen No Goals|1081.55|NR|NR|NR|NR|NR|NR
185|Esposito|Doan Stop Believing|1078.25|NR|NR|NR|NR|NR|NR
186|Jagr|Oshie's Eleven|1073.85|NR|NR|NR|NR|NR|NR
187|Messier|The Unknowns|1059.9|NR|NR|NR|NR|NR|NR
188|Jagr|Holy Smokes Bettman!|1056.4|NR|NR|NR|NR|NR|NR
189|Jagr|McTank|1050.7|NR|NR|NR|NR|NR|NR
190|Howe|Madison Krakens|1041.05|NR|NR|NR|NR|NR|NR
191|Sakic|H2H...yay|1025.5|NR|NR|NR|NR|NR|NR
192|Bourque|Nightmare On Helm Street|1022.25|NR|NR|NR|NR|NR|NR
193|Lemieux|Cape Town Lions|1015.1|NR|NR|NR|NR|NR|NR
194|Messier|Cloud9.0.1|1013.15|NR|NR|NR|NR|NR|NR
195|Francis|The New Cheli-O's|998.55|NR|NR|NR|NR|NR|NR
196|Messier|Captain KLeonard's Crew|984.8|NR|NR|NR|NR|NR|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

