###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**
:-:|:-:|:-:|:--|:--|:--|:--
176|Jagr|Holy Smokes Bettman!|697.95|NR|NR|NR
177|Francis|Baby Got Backstrom|693.05|NR|NR|NR
178|Lemieux|Password Is Turco|688.0|NR|NR|NR
179|Dionne|The Best Placeholder Name Ever|684.15|NR|NR|NR
180|Jagr|McTank|675.8|NR|NR|NR
181|Esposito|Team Name Pending|673.45|NR|NR|NR
182|Bourque|Twelve Parsecs|672.6|NR|NR|NR
183|Bourque|Boychuks Truest|671.25|NR|NR|NR
184|Messier|Change Later|669.5|NR|NR|NR
185|Howe|Madison Krakens|667.5|NR|NR|NR
186|Eastern|Carl Seguin|654.7|NR|NR|NR
187|Dionne|Lehtinen No Goals|654.15|NR|NR|NR
188|Bourque|Nightmare On Helm Street|650.3|NR|NR|NR
189|Francis|Taxicab Kanefessions|647.35|NR|NR|NR
190|Lemieux|Cape Town Lions|637.1|NR|NR|NR
191|Messier|The Unknowns|630.15|NR|NR|NR
192|Messier|Captain KLeonard's Crew|623.35|NR|NR|NR
193|Jagr|Oshie's Eleven|614.6|NR|NR|NR
194|Sakic|Puck Dynasty|604.8|NR|NR|NR
195|Francis|Cheli-O's|588.1|NR|NR|NR
196|Messier|Cloud9|576.3|NR|NR|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

